Country me,Country Code,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Honduras,HND,3.911989949,3.825732367,3.731921635,3.627388704,3.518740025,3.417659804,3.329290881,3.25971012,3.199866889,3.140021624,3.343635993,3.304098846,3.249240845,3.190637763,3.141458096,3.089690046,3.020135469,2.933898303,2.840937118,2.746427524,2.660776252,2.589477912
"Hong Kong SAR, Chi",HKG,0.986784646,1.738771129,2.252030431,1.980132777,4.438607795,0.832512855,0.834808807,0.955125814,0.881594076,0.736962668,0.442846827,-0.197404126,0.779918562,0.436871406,0.642270483,0.859633272,0.598238787,0.215353334,0.734446396,0.672543292,1.166874383,0.458789964
Hungary,HUN,-0.231053829,-0.30633822,-0.329547515,-0.332255421,-0.365186965,-0.396785895,-0.428381368,-0.479352633,-0.456240197,-0.082384825,0.348782884,0.338511283,0.398121565,0.493748801,0.608453786,0.59752637,0.567296147,0.573246962,0.492518066,0.424270889,0.179068125,0.401109317
Iceland,ISL,1.454266176,1.208954948,1.056099063,0.728118798,0.722045346,0.996408787,1.245970553,1.367486189,1.514278587,1.471213093,1.032998441,0.829430493,1.012559992,1.714901831,2.478519638,2.657999695,1.98483023,0.465437225,-0.023170107,0.422931386,0.645018362,1.054363521
India,IND,2.795769321,2.761316921,2.733008024,2.704603228,2.684562844,2.657923314,2.626808552,2.589797969,2.548605991,2.635304539,2.853904954,2.808485585,2.767194934,2.719344175,2.676246923,2.636195326,2.593382103,2.540489167,2.489501446,2.440845374,2.414494423,2.392263901
Indonesia,IDN,5.080294384,4.966450687,4.867326305,4.763722955,4.658200901,4.549991904,4.463167421,4.378467083,4.301755403,3.205277005,3.168765516,3.133225994,3.104903245,3.067717465,3.037098188,3.003175696,2.977491743,2.946103892,2.926868525,2.879819533,2.829230209,2.766922755
"Iran, Islamic Rep.",IRN,2.835398449,2.656911474,2.626050682,2.795572933,3.027587627,3.055673952,3.069576952,2.973255507,2.774733455,2.563148104,2.404758106,2.281480161,2.208376653,2.172757577,2.138864439,2.030181876,1.981691845,1.993432042,2.021514597,2.055398984,2.081375287,2.063469035
Iraq,IRQ,2.565097709,2.685512068,2.759342596,2.797950306,2.832937169,2.859491936,3.092857029,3.129839725,3.032592222,2.93909913,2.863329082,2.794195621,2.735529648,2.692897354,2.632312761,2.595659275,2.647813189,2.807467813,3.028962101,3.279629727,3.474153398,3.554771552
Ireland,IRL,1.065410466,0.88154682,0.772722847,0.889777675,1.177260528,1.433556466,1.470308892,1.554376174,1.7566011,2.01226813,2.111880962,2.090584678,2.289496684,2.634456056,3.149700623,3.339308207,2.485092812,1.456778593,0.984081557,0.801495736,0.662277644,0.697558806
Isle of Man,IMN,0.49983805,0.270606865,0.353390621,0.649562086,1.008886148,1.265922976,1.410101659,1.37523455,1.228529102,1.059612563,0.945130495,0.870391529,0.86772131,0.920222335,0.980715831,1.020561657,1.033516343,1.011430515,0.96253751,0.910428466,0.888774737,0.874283509
